ID,ResponseId,age,child_age,sex,n_children,child_gender,residence,LocationLatitude,LocationLongitude,Event,EER_text,notes,ERQ_1,ERQ_2,ERQ_3,ERQ_4,ERQ_5,ERQ_6,ERQ_7,ERQ_8,ERQ_9,ERQ_10,RRS_1,RRS_2,RRS_3,RRS_4,RRS_5,ERQ_mean,RRS_mean
30840,R_2zx6JDdyuRWIFe7,29,5.0,2,1.0,,באר שבע,31.5,34.75,"שיחקתי עם הבן שלי ואז צחק וחייך, והדבר היחיד שיכולתי לחשוב עליו זה על הילדים החטופים. זה שבר לי את הלב.","אני רוצה להאמין שהחטופים יחזרו אלינו, ולהזכיר לעצמי שהחוזק שלנו הוא דווקא בלראות את הדברם הקטנים והיפים שנשארו כאן. ",,6.0,2.0,6.0,2.0,7.0,1.0,6.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,4.4,1.0
82080,R_87VewwKW25MdOWR,37,10.0,2,3.0,1.0,חיפה,32.0803,34.7805,"באמצע חגיגת יום הולדת ביתית לביתי בת ה6, אחותה סיפרה לה על בני משפחה של חברתם שנרצחו וכך באמצע היום הולדת החלה לבכות.",אפשר להתנחם בכך שהיא נרגעה לאחר מכן ובתום השבעה הזמנו את החברה להתארח אצלנו.,אספקט נוסף שתורם ללחץ משפחתי או כך שאנו מארחים משפחה מפונה. אולי כדאי להוסיף כשאלה לסקר.,6.0,4.0,6.0,1.0,6.0,5.0,5.0,6.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,4.6,2.4
75872,R_2UXkBlYFVZKykUc,39,0.0,1,1.0,2.0,"כפר הרא""ה",31.5,34.75,בחרנו להשאר לישון במקלט בשביל לא להעיר את הילדה בלילה מתוך היסטריה ולחץ במקרה שיהיו אזעקות,עשית החלטה נכונה מתוך שיקול הדעת בשביל לחסוך לילדה שלך תחושת פחד,לא,6.0,5.0,5.0,1.0,6.0,6.0,6.0,6.0,2.0,6.0,1.0,1.0,3.0,3.0,3.0,4.9,2.2
14062,R_3NJoeQvJTS5YS4s,47,9.0,2,2.0,1.0,אשדוד,32.0803,34.7805,התיסכול בין לריב איתם על להיתחבר לזום להין לוותר לנם כי אין לי כח לריב,"את עושה מה שאת יכולה , את צריכה גם לנשום , מקסימום ישלימו אחרי הצבא",,6.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,2.4,3.4
80133,R_2wHVGst8nWwQV1c,34,6.0,2,3.0,1.0,יבנה,31.5,34.75,"נבהלתי מאוד מהאזעקות הרבות, הילדים הרגישו את הפחד והחרדה שלי והבן האמצעי נכנס ללחץ חרדתי",אני בן אדם ולא מכונה . פחד משתק וגורם לצאת משליטה בסיטואציה,,1.0,1.0,7.0,1.0,6.0,1.0,7.0,7.0,5.0,7.0,1.0,2.0,2.0,1.0,2.0,4.3,1.6
7732048,R_Wp5RsTw7eVgol4l,32,1.0,2,1.0,2.0,תל אביב,32.0803,34.7805,אין אירוע ספציפי אחד. בגדול כל טיפול בתינוקת שלי מעלה במחשבותיי את הילדים והתינוקות החטופים ותהייה מי מטפל בהם אם בכלל,"אין לך שליטה על הכל.
תתרכזי במה שעושה לך טוב, בחיים שלך, בהתפתחות שלך.. ",בהצלחה ❤️,7.0,3.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,5.4,1.2
44876,R_2WSS6wiGiQ5OsPF,31,3.0,2,2.0,2.0,אשקלון,32.0803,34.7805,"באחד הלילות , צה""ל הפצי. מאד את עזה רעדו לנו החלונות,  והקטנה שלי בת ה3 התעוררה בלילה בצעקות שהיא לא רוצה לישון לבד שהיא מפחדת מהרעם (הפיצוצים) ולא משנה כמה ניסיתי להרגיע אותה היא פשוט לא הרגישה בטוחה, הרגשתי עייפה ומתוסכלת שאני לא יכולה לתת לה את ההרגשה שהיא במקום בטוח , החדר שלה הוא הממד ובמקום להרגיש רצון להיות בו היא רוצה רק לברוח ממנו . עצוב","אני עוד אחת מהמון אימהות שעוברות את התקופה הזאת בצורה שונה ורובן מרגישות אותה הדבר כמוך! 
את לא לבד תתמקדי במי שנמצא לידך באנשים שאוהבים אותך ומשתדלים לעזור לך!
בכל המצב הזה הרבה מאד חשבתי על החיילים שלנו על מי שכרגע נמצא שם! הם עושים הכל למען השקט שלנו כעיר וכל אחד לכוד!
עם ישראל חיי ! ואת צריכה להיות בעלת תקווה שהאחדות של העם שלנו באמת תגיע שכל אחד ידע שכמו שהיה אלוהים בכל מלחמה ועשה ניסיתי גדולים עבור עמו ! גם היום ! חשוב לזכור שאנחנו לא סתם הגענו לכאן! יש המון מעבר ממה שאנחנו רואים ומבינים !
כל העולם נושא עיניים אלינו, תתעודדי תרימי את הראש תאגרי במידע חשוב עבור ילדייך באיך לעבור את זה ביחד איתם ותנשמי! זה חשוב פשוט לנוח לצייר להתעסק בעוד דברים חוץ מחדשות!",,6.0,3.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,1.0,3.0,3.0,1.0,2.0,6.0,2.0
40517,R_d6zfhIHK3IYVS1P,40,10.0,2,2.0,2.0,תל אביב ,32.0803,34.7805,"הרבה תסכול וחוסר אונים, מחשבות על הילדים הפרטיים שלי, מחשבות על ההורים של הילדים החטופים, הרבה מאוד עצב וקושי לתפקד ׳כרגיל׳ ליד הילדים שלי, מנסה לחזור לשגרה אבל המועקה לא נותנת מנוח מהמחשבה שכל כך הרבה לא יכולים לדעת איפה הילדים שלהם ישנים -
נתקלתי בהרבה קושי למנן את הידע לגדולה שלי בת ה10 אשר באופן טבעי יותר חשופה לאירועים","את בטוחה, הילדים שלך במקום בטוח. 
בחרת לגור במקום מרכזי ולהיות מוקפת במשפחה.
את חזקה ועשית כל מה שאת יכולה לשמור על הילדים שלך מהזוועות, לספר להם את מה שהכרחי בדרך שתהווה עבורם ידע אך לא רתיעה, את העוגן שלהם ולכן תמשיכי להיות חזקה עבורם. 
את העצב, הכיס, התסכול את תניחי בצד, ותתרמי למי שאת יכולה, למי שאין את המזל שלך יש.
ותדעי 
שזה יעבור. ונצא מזה מאוחדים יותר 
ומקווה גם שחכמים יותר ",,6.0,5.0,6.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,2.0,4.5,2.0
66220,R_cva57zrT8lnH4mB,43,8.0,1,2.0,2.0,רמת גן,32.0803,34.7805,חוסר סבלנות כלפי הילדים בסיטואציה מסוימת,כולנו מתוחים בימים אלה. קשה להישאר קר רוח במיוחד במראות בתחילת המלחמה. לכן אפשר להבין את חוסר הסבלנות שגיליתי בתחילת המלחמה בסיטואציה מסוימת,לא,1.0,5.0,5.0,3.0,4.0,3.0,5.0,6.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,4.1,1.8
90368,R_2Ya1w3WS3v4mhbY,39,0.0,2,3.0,1.0,אשקלון,32.0803,34.7805,הבנות שלי רצו לחזור הביתה ואני רציתי להישאר בקיבוץ. תחושת תסכול ,"צריך להבין את הבנות , הן מתגעגעות לשגרה ולבית ולא מבינות את המצב ",לא,2.0,3.0,2.0,2.0,5.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.7,1.2
